code,system,manufacturer,description,possible_causes,severity
P1605,P,VW,Rough Road Sensor Circuit,Rough road sensor; Wiring; Connector; ECU; ABS,MEDIUM
P1606,P,VW,Rough Road Sensor Range/Performance,Rough road sensor reading incorrect; Mounting; Sensor,MEDIUM
P1610,P,VW,ECU Defective - Engine Torque Monitoring,ECU internal fault; Sensors; Software; Replace ECU,CRITICAL
P1611,P,VW,MIL Call-Up Circuit Short to Ground,MIL circuit wiring short; Cluster; ECU; Harness,MEDIUM
P1612,P,VW,ECU Incorrect Coding,ECU not coded correctly; Reprogram; VIN coding; Wrong software,HIGH
P1613,P,VW,MIL Call-Up Circuit Open/Short to B+,MIL circuit wiring; Cluster; Bulb; Wiring; ECU,MEDIUM
P1624,P,VW,MIL Request Signal Active,Check engine light on; Active fault; Emissions system,MEDIUM
P1640,P,VW,Internal Control Module EEPROM Error,ECU EEPROM fault; Memory; Reprogram or replace ECU,CRITICAL
P1690,P,VW,MIL Circuit Malfunction,Check engine light circuit; Bulb; Wiring; Cluster; ECU,LOW
P1778,P,VW,Solenoid Valve 1 (N88) Electrical Malfunction,Transmission N88 valve; Wiring; TCM; Solenoid,MEDIUM
P1780,P,VW,Engine Intervention Readable,ECU communication with TCM; Torque reduction; CAN bus,MEDIUM
